id,template,count
4,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,459810
35,"<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> now call service:<:POD:>, inst:<:IP:> as a downstream service",447933
1,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> the list of all available services are <:POD:>: <:IP:> <:POD:>: <:IP:>,368360
41,<:TIME:> <:*:> <:HOST:> <:HOST:> <:POD:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> downstream service,214773
60,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> redis write success,207755
40,<:TIME:> <:*:> <:HOST:> <:HOST:> <:POD:> <:*:> <:*:> <:*:> <:*:> <:*:>,202189
37,"<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> request <:IP:> and param={'uuid': '<:UID:>', 'user id': <:*:>",159330
42,"<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> request <:IP:> and param={'keys': '<:UID:>', 'value': '', 'ex': 10}",106629
43,"<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> complete information: {'uuid': '<:UID:>', 'user id': <:*:>",101566
61,<:TIME:> <:*:> <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:>,101300
39,"<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> request <:IP:> and param={'keys': '<:UID:>', 'value': <:*:>",101065
46,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> the list of all available services are <:POD:>: <:IP:> <:POD:>: <:IP:>,100966
45,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,100946
47,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> query = select passwards from username table where user <:*:>,96009
5,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> the list of all available services are <:POD:>: <:IP:>,79682
49,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,18148
51,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,5890
62,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> get a error [Errno 2] No such file or directory: 'resources/source file/source file.csv',5044
50,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> {trace id} password in database of {user} is null, the user is not registered",1798
48,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> (pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise micross.system metric datas' doesn't exist"")[SQL: select service names, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from system metric datas](Background on this error at: <:IP:>",1395
52,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:*:> <:*:> <:*:> token generate success <:*:>,1381
53,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> (pymysql.err.OperationalError) (1054, ""Unknown column 'system data time' in 'field list'"")[SQL: select service name, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from `metric table 2021-05`](Background on this error at: <:IP:>",1357
59,<:TIME:> <:*:> <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,1295
36,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,876
38,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> uuid:<:UID:> information has expired, mobile phone login is invalid",552
54,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.OperationalError) (1054, ""Unknown column 'system data time' in 'field list'"")[SQL: select service name, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from `metric table 2021-05`](Background on this error at: <:IP:>",239
56,<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.OperationalError) <:FIX MESSAGE:>(Background on this error at: <:IP:>,233
63,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> redis write success,221
55,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> <:*:> (pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise micross.system metric datas' doesn't exist"")[SQL: select service names, system data time, system cpu utilization, system memory usage,system disk usage, disk io read count, disk io write count,system network, network io read count, network io write count from system metric datas](Background on this error at: <:IP:>",194
58,<:TIME:> <:*:> <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,111
65,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> query = select passwards from username table where user <:*:>,71
57,<:TIME:> INFO <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,34
44,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> unknown error occurred, status code == 200, message:{'message': 'redis write success, keys=<:UID:>, value=', 'status code': 200}",14
66,<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> cedd958df88ac8b1 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,8
3,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 2f9e8224cdaa77e2 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
6,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 424b48b1fa35d3d6 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
7,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 18b290c0d1540056 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
10,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 13cfa53aba9e055 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
12,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 96c6021c9cdfdd92 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
16,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> a1fd896a9f984d91 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
19,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 4e28cc6bd790166c <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
20,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> ea3bb0020c871f5 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
26,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 2d47bb0fa80393f6 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
28,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 486ba2f12b6a78cc <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
30,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> d1bf6a360df9c195 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,3
2,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> a977c7811d68d76c <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
8,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> c138521b0760bf7c <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
9,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f65f766fb5420252 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
11,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> e595de2aa7a43c23 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
13,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 4be05ea6abad9cfc <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
14,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> fe3e2e50dd8c977 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
15,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f5a25379e663b770 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
17,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> fa2c1f7f4a3ef1be <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
18,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 7dd5c844a1ae44aa <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
21,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f0772a04b084931d <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
22,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f528dfe00d821cee <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
23,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 41186ab0d14339b6 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
24,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 41e2e7aa574a4615 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
25,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f025b35fbd8f1fb8 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
27,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 80cc2a9704ca24f0 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
29,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 1c2f6062f338f2a8 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
31,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f3108556bfe24739 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
32,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> bbc1db715a05428a <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
33,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 8f3ee5e098db8954 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
34,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 33d7f7037933b55d <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
64,<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> c5fe3d5b4617a1a0 get a error [Errno 2] No such file or directory: 'resources/source file/source file.csv',2
67,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:UID:>-ydDVPRrH-K>1}?T{ &NHS token generate success <:TOKEN:>-MX0 <:*:>,2
70,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> call the url <:IP:> and param {'uuid': '<:UID:>'} error --HTTPConnectionPool(host='<:HOST:>', port=9384): Max retries exceeded with url: /login query redis info?uuid=<:UID:> (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at <:*:> Failed to establish a new connection: [Errno 111] Connection refused'))",2
68,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> {traci id} uuid expired, invalid phone request",1
69,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> 41665ae8ee47ea1c call the url <:IP:> and param {'uuid': '<:UID:>'} error --('Connection aborted.', ConnectionResetError<:FIX MESSAGE:>)",1
